ID; partition; Off.size.vector; Parent.size; Off.num; Cost.allowed
278; 7, 5, 1; 1, 0, 0, 0, 1, 0, 1; 13; 3; 1
279; 7, 4, 2; 0, 1, 0, 1, 0, 0, 1; 13; 3; 1
280; 7, 4, 1, 1; 2, 0, 0, 1, 0, 0, 1; 13; 4; 1
281; 7, 3, 3; 0, 0, 2, 0, 0, 0, 1; 13; 3; 1
282; 7, 3, 2, 1; 1, 1, 1, 0, 0, 0, 1; 13; 4; 0
283; 7, 3, 1, 1, 1; 3, 0, 1, 0, 0, 0, 1; 13; 5; 0
284; 7, 2, 2, 2; 0, 3, 0, 0, 0, 0, 1; 13; 4; 1
285; 7, 2, 2, 1, 1; 2, 2, 0, 0, 0, 0, 1; 13; 5; 0
286; 7, 2, 1, 1, 1, 1; 4, 1, 0, 0, 0, 0, 1; 13; 6; 0
287; 7, 1, 1, 1, 1, 1, 1; 6, 0, 0, 0, 0, 0, 1; 13; 7; 1
288; 6, 6, 1; 1, 0, 0, 0, 0, 2; 13; 3; 1
289; 6, 5, 2; 0, 1, 0, 0, 1, 1; 13; 3; 1
290; 6, 5, 1, 1; 2, 0, 0, 0, 1, 1; 13; 4; 0
291; 6, 4, 3; 0, 0, 1, 1, 0, 1; 13; 3; 1
292; 6, 4, 2, 1; 1, 1, 0, 1, 0, 1; 13; 4; 0
293; 6, 4, 1, 1, 1; 3, 0, 0, 1, 0, 1; 13; 5; 0
294; 6, 3, 3, 1; 1, 0, 2, 0, 0, 1; 13; 4; 0
295; 6, 3, 2, 2; 0, 2, 1, 0, 0, 1; 13; 4; 1
296; 6, 3, 2, 1, 1; 2, 1, 1, 0, 0, 1; 13; 5; 0
297; 6, 3, 1, 1, 1, 1; 4, 0, 1, 0, 0, 1; 13; 6; 0
298; 6, 2, 2, 2, 1; 1, 3, 0, 0, 0, 1; 13; 5; 0
299; 6, 2, 2, 1, 1, 1; 3, 2, 0, 0, 0, 1; 13; 6; 0
300; 6, 2, 1, 1, 1, 1, 1; 5, 1, 0, 0, 0, 1; 13; 7; 0
301; 6, 1, 1, 1, 1, 1, 1, 1; 7, 0, 0, 0, 0, 1; 13; 8; 0
302; 5, 5, 3; 0, 0, 1, 0, 2; 13; 3; 1
303; 5, 5, 2, 1; 1, 1, 0, 0, 2; 13; 4; 1
304; 5, 5, 1, 1, 1; 3, 0, 0, 0, 2; 13; 5; 1
305; 5, 4, 4; 0, 0, 0, 2, 1; 13; 3; 1
306; 5, 4, 3, 1; 1, 0, 1, 1, 1; 13; 4; 0
307; 5, 4, 2, 2; 0, 2, 0, 1, 1; 13; 4; 0
308; 5, 4, 2, 1, 1; 2, 1, 0, 1, 1; 13; 5; 0
309; 5, 4, 1, 1, 1, 1; 4, 0, 0, 1, 1; 13; 6; 0
310; 5, 3, 3, 2; 0, 1, 2, 0, 1; 13; 4; 0
311; 5, 3, 3, 1, 1; 2, 0, 2, 0, 1; 13; 5; 0
312; 5, 3, 2, 2, 1; 1, 2, 1, 0, 1; 13; 5; 0
313; 5, 3, 2, 1, 1, 1; 3, 1, 1, 0, 1; 13; 6; 0
314; 5, 3, 1, 1, 1, 1, 1; 5, 0, 1, 0, 1; 13; 7; 0
315; 5, 2, 2, 2, 2; 0, 4, 0, 0, 1; 13; 5; 1
316; 5, 2, 2, 2, 1, 1; 2, 3, 0, 0, 1; 13; 6; 0
317; 5, 2, 2, 1, 1, 1, 1; 4, 2, 0, 0, 1; 13; 7; 0
318; 5, 2, 1, 1, 1, 1, 1, 1; 6, 1, 0, 0, 1; 13; 8; 0
319; 5, 1, 1, 1, 1, 1, 1, 1, 1; 8, 0, 0, 0, 1; 13; 9; 0
320; 4, 4, 4, 1; 1, 0, 0, 3; 13; 4; 1
321; 4, 4, 3, 2; 0, 1, 1, 2; 13; 4; 1
322; 4, 4, 3, 1, 1; 2, 0, 1, 2; 13; 5; 0
323; 4, 4, 2, 2, 1; 1, 2, 0, 2; 13; 5; 0
324; 4, 4, 2, 1, 1, 1; 3, 1, 0, 2; 13; 6; 0
325; 4, 4, 1, 1, 1, 1, 1; 5, 0, 0, 2; 13; 7; 0
326; 4, 3, 3, 3; 0, 0, 3, 1; 13; 4; 1
327; 4, 3, 3, 2, 1; 1, 1, 2, 1; 13; 5; 0
328; 4, 3, 3, 1, 1, 1; 3, 0, 2, 1; 13; 6; 0
329; 4, 3, 2, 2, 2; 0, 3, 1, 1; 13; 5; 0
330; 4, 3, 2, 2, 1, 1; 2, 2, 1, 1; 13; 6; 0
331; 4, 3, 2, 1, 1, 1, 1; 4, 1, 1, 1; 13; 7; 0
332; 4, 3, 1, 1, 1, 1, 1, 1; 6, 0, 1, 1; 13; 8; 0
333; 4, 2, 2, 2, 2, 1; 1, 4, 0, 1; 13; 6; 0
334; 4, 2, 2, 2, 1, 1, 1; 3, 3, 0, 1; 13; 7; 0
335; 4, 2, 2, 1, 1, 1, 1, 1; 5, 2, 0, 1; 13; 8; 0
336; 4, 2, 1, 1, 1, 1, 1, 1, 1; 7, 1, 0, 1; 13; 9; 0
337; 4, 1, 1, 1, 1, 1, 1, 1, 1, 1; 9, 0, 0, 1; 13; 10; 0
338; 3, 3, 3, 3, 1; 1, 0, 4; 13; 5; 1
339; 3, 3, 3, 2, 2; 0, 2, 3; 13; 5; 1
340; 3, 3, 3, 2, 1, 1; 2, 1, 3; 13; 6; 0
